EngineSize,Cylinders,FuelType,FuelC
2.00,4.00,2.00,8.10
2.00,4.00,2.00,8.80
2.50,4.00,2.00,8.80
2.50,4.00,2.00,8.50
2.50,4.00,2.00,9.30
2.50,4.00,2.00,9.00
2.50,4.00,2.00,9.80
2.20,4.00,3.00,8.40
2.50,4.00,2.00,9.60
2.50,4.00,2.00,10.50
2.00,4.00,2.00,7.60
2.00,4.00,2.00,7.70
2.50,4.00,2.00,7.70
2.50,4.00,2.00,7.80
2.50,4.00,2.00,8.20
2.00,4.00,2.00,7.70
2.00,4.00,2.00,7.80
2.50,4.00,2.00,8.00
2.50,4.00,2.00,8.10
2.50,4.00,2.00,8.70
2.50,4.00,2.00,8.00
2.50,4.00,2.00,8.90
2.00,4.00,1.00,7.90
2.00,4.00,1.00,8.10
2.00,4.00,1.00,8.40
2.00,4.00,1.00,8.50
2.00,4.00,1.00,8.30
2.00,4.00,1.00,8.60
3.00,6.00,1.00,10.70
3.00,6.00,1.00,11.20
3.00,6.00,1.00,11.10
3.00,6.00,1.00,10.80
4.00,8.00,1.00,11.20
4.00,8.00,1.00,11.20
4.00,8.00,1.00,12.00
4.00,8.00,1.00,11.80
2.00,4.00,1.00,9.20
3.00,6.00,1.00,10.70
3.00,6.00,1.00,9.90
3.00,6.00,1.00,10.90
3.00,6.00,1.00,10.60
3.00,6.00,1.00,10.20
4.00,8.00,1.00,13.50
4.00,8.00,1.00,12.70
4.00,8.00,1.00,17.00
2.00,4.00,1.00,9.60
3.00,6.00,1.00,11.20
3.00,6.00,1.00,11.30
4.00,8.00,1.00,13.20
4.00,8.00,1.00,13.20
3.00,6.00,1.00,12.40
3.00,6.00,1.00,12.60
4.70,8.00,1.00,15.80
4.70,8.00,1.00,15.20
4.70,8.00,1.00,15.70
3.00,6.00,1.00,11.20
4.00,8.00,1.00,13.70
4.00,8.00,1.00,13.70
4.00,8.00,1.00,13.50
4.00,8.00,1.00,13.50
4.00,8.00,1.00,14.00
4.00,8.00,1.00,11.80
4.00,8.00,1.00,13.10
4.00,8.00,1.00,11.60
6.00,12.00,1.00,15.10
6.00,12.00,1.00,14.30
6.00,12.00,1.00,14.60
5.50,8.00,1.00,13.00
3.00,6.00,1.00,10.20
2.00,4.00,1.00,8.40
2.00,4.00,1.00,9.10
2.00,4.00,1.00,9.40
2.00,4.00,1.00,9.90
2.00,4.00,1.00,9.50
2.00,4.00,1.00,9.50
2.00,4.00,1.00,8.20
2.00,4.00,1.00,8.70
3.00,6.00,1.00,9.80
2.00,4.00,1.00,9.70
3.00,6.00,1.00,10.30
3.00,6.00,1.00,11.60
3.00,6.00,1.00,11.00
3.00,6.00,1.00,10.80
4.00,8.00,1.00,16.30
2.00,4.00,1.00,9.00
2.00,4.00,1.00,10.00
2.00,4.00,1.00,10.00
3.00,6.00,1.00,12.10
3.00,6.00,1.00,13.20
4.70,8.00,1.00,15.10
4.00,8.00,1.00,12.20
6.00,12.00,1.00,15.10
2.00,4.00,1.00,10.70
2.00,4.00,1.00,10.50
2.00,4.00,1.00,11.40
3.00,6.00,1.00,10.80
4.00,8.00,1.00,11.70
4.00,8.00,1.00,11.30
4.00,8.00,1.00,11.30
3.00,6.00,1.00,10.30
4.70,8.00,1.00,11.60
2.00,4.00,1.00,8.80
1.50,3.00,1.00,7.90
1.50,3.00,1.00,7.50
1.50,3.00,1.00,7.90
1.50,3.00,1.00,7.50
1.50,3.00,1.00,9.00
1.50,3.00,1.00,9.10
1.50,3.00,1.00,7.90
1.50,3.00,1.00,7.50
1.50,3.00,1.00,9.20
1.50,3.00,1.00,9.10
2.00,4.00,1.00,8.40
2.00,4.00,1.00,9.00
2.00,4.00,1.00,8.40
2.00,4.00,1.00,9.00
2.00,4.00,1.00,9.20
2.00,4.00,1.00,9.70
2.00,4.00,1.00,8.40
2.00,4.00,1.00,9.00
2.00,4.00,1.00,9.20
2.00,4.00,1.00,9.70
2.00,4.00,1.00,8.40
2.00,4.00,1.00,9.00
2.00,4.00,1.00,9.20
2.00,4.00,1.00,9.70
2.00,4.00,1.00,8.40
2.00,4.00,1.00,9.40
2.00,4.00,1.00,9.30
2.00,4.00,1.00,9.70
1.50,4.00,2.00,9.30
1.20,3.00,2.00,6.20
1.20,3.00,2.00,6.50
1.20,3.00,2.00,6.40
1.20,3.00,2.00,6.60
2.40,4.00,2.00,9.10
3.00,6.00,1.00,10.60
2.00,4.00,2.00,8.80
2.00,4.00,2.00,9.20
2.40,4.00,2.00,9.40
3.70,6.00,1.00,11.10
3.70,6.00,1.00,11.50
3.70,6.00,1.00,11.50
3.70,6.00,1.00,11.80
2.50,4.00,2.00,7.40
