Merk,Engine-Size,Cylinders,Fuel-Type,Fuel-Consumption-City,Fuel-Consumption-Hwy,Fuel-Consumption-Comb,
Ford,5.00,8.00,X,15.70,11.80,13.90,
Ford,5.00,8.00,E,20.00,15.60,18.00,
Ford,5.00,8.00,X,16.80,12.40,14.80,
Ford,5.00,8.00,E,21.30,17.20,19.50,
Ford,3.50,6.00,X,15.30,13.10,14.30,
Ford,3.50,6.00,X,14.70,10.20,12.70,
Ford,3.50,6.00,X,14.70,10.70,12.90,
Ford,3.50,6.00,X,15.70,11.20,13.70,
Ford,1.60,4.00,X,8.60,6.40,7.60,
Ford,1.60,4.00,X,8.80,6.80,7.90,
Ford,1.60,4.00,X,9.20,7.40,8.40,
Ford,1.50,4.00,X,10.00,7.00,8.70,
Ford,2.00,4.00,X,5.50,5.60,5.60,
Ford,3.50,6.00,Z,20.40,13.10,17.10,
Ford,2.30,4.00,X,11.20,7.30,9.40,
Ford,2.30,4.00,X,11.80,8.40,10.30,
Ford,2.30,4.00,X,11.20,7.90,9.70,
Ford,2.30,4.00,X,11.80,8.70,10.40,
Ford,5.00,8.00,X,15.00,9.10,12.30,
Ford,5.00,8.00,X,16.10,9.90,13.30,
Ford,5.00,8.00,X,16.10,9.90,13.30,
Ford,2.30,4.00,X,11.90,8.40,10.40,
Ford,2.30,4.00,X,11.80,8.40,10.30,
Ford,5.00,8.00,X,15.40,9.70,12.90,
Ford,2.30,4.00,X,11.80,9.80,10.90,
Ford,5.20,8.00,Z,17.20,11.30,14.60,
Ford,3.50,6.00,X,16.20,12.80,14.70,
Ford,3.70,6.00,X,16.90,13.10,15.20,
Ford,3.50,6.00,X,13.50,9.00,11.50,
Ford,3.50,6.00,E,17.80,12.10,15.20,
Ford,3.50,6.00,X,14.60,10.00,12.50,
Ford,3.50,6.00,X,14.00,9.90,12.40,
Ford,3.50,6.00,E,18.50,13.00,16.00,
Ford,2.00,4.00,X,9.80,8.80,9.30,
Ford,2.00,4.00,X,9.80,8.80,9.30,
Ford,2.00,4.00,E,13.30,11.80,12.60,
Ford,2.50,4.00,X,12.00,8.80,10.60,
Ford,2.00,4.00,X,9.90,8.20,9.20,
Ford,2.00,4.00,X,9.90,8.20,9.20,
Ford,2.00,4.00,E,13.70,11.10,12.50,
Ford,2.50,4.00,X,12.10,9.00,10.70,
Genesis,2.00,4.00,Z,12.80,8.50,10.90,
Genesis,2.00,4.00,Z,11.50,8.70,10.30,
Genesis,3.30,6.00,Z,13.30,9.50,11.60,
Genesis,3.30,6.00,Z,13.80,9.70,11.90,
Genesis,3.80,6.00,X,13.40,9.60,11.70,
Genesis,5.00,8.00,Z,15.60,10.40,13.20,
Genesis,3.30,6.00,Z,13.70,9.70,11.90,
Genesis,5.00,8.00,Z,15.20,10.20,13.00,
GMC,2.50,4.00,X,11.10,9.20,10.20,
GMC,3.60,6.00,X,13.10,9.40,11.40,
GMC,2.50,4.00,X,11.30,9.40,10.50,
GMC,3.60,6.00,X,13.50,9.50,11.70,
GMC,2.50,4.00,X,12.10,9.20,10.80,
GMC,2.50,4.00,X,11.90,9.20,10.70,
GMC,2.80,4.00,D,11.80,7.90,10.10,
GMC,3.60,6.00,X,13.40,9.60,11.70,
GMC,2.50,4.00,X,12.70,9.80,11.40,
GMC,2.80,4.00,D,12.20,8.40,10.50,
GMC,3.60,6.00,X,14.00,9.90,12.20,
GMC,2.70,4.00,X,11.90,10.30,11.10,
GMC,4.30,6.00,X,15.10,11.50,13.50,
GMC,5.30,8.00,X,15.90,11.40,13.90,
GMC,5.30,8.00,X,15.70,11.90,14.00,
GMC,5.30,8.00,E,21.10,15.00,18.40,
GMC,5.30,8.00,X,14.30,10.40,12.50,
GMC,2.70,4.00,X,12.60,10.90,11.80,
GMC,4.30,6.00,X,15.80,11.90,14.00,
GMC,5.30,8.00,X,15.90,11.70,14.00,
GMC,5.30,8.00,X,16.00,12.50,14.40,
GMC,5.30,8.00,E,22.00,16.10,19.40,
GMC,5.30,8.00,X,15.30,11.20,13.50,
GMC,5.30,8.00,X,15.30,11.80,13.70,
GMC,6.20,8.00,Z,15.50,11.90,13.90,
GMC,6.20,8.00,Z,15.70,12.40,14.20,
GMC,5.30,8.00,X,15.60,10.90,13.50,
GMC,5.30,8.00,X,15.80,11.40,13.80,
GMC,1.50,4.00,X,9.20,7.90,8.60,
GMC,1.60,4.00,D,8.50,6.00,7.40,
GMC,1.50,4.00,X,9.60,8.30,9.00,
GMC,1.60,4.00,D,8.50,6.10,7.40,
GMC,2.00,4.00,Z,11.20,9.00,10.20,
GMC,5.30,8.00,X,15.70,10.50,13.40,
GMC,5.30,8.00,X,15.70,10.50,13.40,
GMC,5.30,8.00,E,21.20,13.90,17.90,
GMC,5.30,8.00,X,15.80,11.10,13.70,
GMC,5.30,8.00,X,15.80,11.10,13.70,
GMC,5.30,8.00,E,21.70,14.30,18.40,
GMC,6.20,8.00,Z,16.40,10.70,13.80,
GMC,5.30,8.00,X,15.70,10.50,13.40,
GMC,5.30,8.00,X,15.70,10.50,13.40,
GMC,5.30,8.00,E,21.20,13.90,17.90,
GMC,5.30,8.00,X,16.80,11.30,14.30,
GMC,5.30,8.00,X,16.80,11.30,14.30,
GMC,5.30,8.00,E,22.20,15.20,19.00,
GMC,6.20,8.00,Z,17.10,11.30,14.50,
Honda,1.50,4.00,X,7.90,6.30,7.20,
Honda,1.50,4.00,X,8.20,6.80,7.60,
Honda,1.50,4.00,X,8.90,6.70,7.90,
Honda,2.00,4.00,X,10.70,7.30,9.20,
Honda,2.00,4.00,X,10.40,7.40,9.10,
Honda,2.00,4.00,X,5.00,5.00,5.00,
Honda,1.50,4.00,X,7.80,6.40,7.20,
Honda,2.00,4.00,X,7.80,6.10,7.10,
Honda,2.00,4.00,X,8.30,6.60,7.50,
Honda,2.00,4.00,X,9.30,6.70,8.10,
Honda,1.50,4.00,Z,8.40,6.20,7.40,
Honda,1.50,4.00,X,7.70,6.00,6.90,
Honda,1.50,4.00,X,7.90,6.60,7.30,
Honda,1.50,4.00,X,8.00,6.20,7.20,
Honda,1.50,4.00,Z,7.90,6.60,7.30,
Honda,1.50,4.00,Z,8.00,6.20,7.20,
Honda,1.50,4.00,X,7.80,6.20,7.10,
Honda,2.00,4.00,X,7.90,6.10,7.10,
Honda,2.00,4.00,X,9.30,6.50,8.00,
Honda,1.50,4.00,Z,8.40,6.20,7.40,
Honda,2.00,4.00,Z,10.60,8.30,9.60,
Honda,1.50,4.00,X,8.40,7.00,7.80,
Honda,1.50,4.00,X,8.70,7.20,8.00,
Honda,1.50,4.00,X,7.00,5.90,6.50,
Honda,1.50,4.00,X,7.60,6.50,7.00,
Honda,1.50,4.00,X,8.10,6.60,7.40,
Honda,1.80,4.00,X,8.40,7.00,7.80,
Honda,1.80,4.00,X,8.80,7.50,8.20,
Honda,1.80,4.00,X,9.10,7.70,8.50,
Honda,1.50,4.00,X,4.60,5.30,4.90,
Honda,1.50,4.00,X,4.60,5.30,4.90,
Honda,3.50,6.00,X,12.60,8.40,10.70,
Honda,3.50,6.00,X,12.20,8.50,10.60,
Honda,3.50,6.00,X,12.50,9.80,11.30,
Honda,3.50,6.00,X,12.40,8.70,10.70,
Honda,3.50,6.00,X,13.00,9.30,11.30,
Honda,3.50,6.00,X,12.40,9.30,11.00,
Honda,3.50,6.00,X,12.80,9.50,11.30,
Hyundai,1.60,4.00,X,8.20,6.20,7.30,
Hyundai,1.60,4.00,X,8.20,6.30,7.30,
Hyundai,1.60,4.00,X,8.90,7.00,8.10,
Hyundai,1.60,4.00,X,10.70,7.80,9.40,
Hyundai,2.00,4.00,X,8.30,6.40,7.40,
Hyundai,2.00,4.00,X,9.20,6.50,8.00,
Hyundai,1.60,4.00,X,9.70,7.40,8.60,
Hyundai,1.60,4.00,X,10.30,7.90,9.20,
Hyundai,2.00,4.00,X,9.40,7.10,8.40,
Hyundai,2.00,4.00,X,9.80,7.40,8.70,
Hyundai,1.60,4.00,X,4.30,4.40,4.30,
Hyundai,1.60,4.00,X,4.20,4.00,4.10,
Hyundai,2.00,4.00,X,8.60,7.00,7.90,
Hyundai,1.60,4.00,X,9.00,8.00,8.60,
Hyundai,2.00,4.00,X,9.20,7.80,8.60,
Hyundai,2.40,4.00,X,10.80,8.00,9.60,
Hyundai,2.00,4.00,X,12.30,9.80,11.20,
