Merk,EngineSize,Cylinders,FuelType,FuelC
24.00,3.00,6.00,3.00,9.60
24.00,5.00,8.00,1.00,12.60
24.00,2.00,4.00,1.00,9.60
24.00,2.00,4.00,1.00,9.80
24.00,2.00,4.00,3.00,8.50
24.00,2.00,4.00,1.00,10.60
24.00,3.00,6.00,1.00,11.60
25.00,2.50,4.00,2.00,5.30
25.00,3.50,6.00,2.00,9.10
25.00,3.50,6.00,2.00,9.40
25.00,3.50,6.00,1.00,10.90
25.00,5.00,8.00,1.00,12.50
25.00,4.60,8.00,1.00,14.60
25.00,2.00,4.00,1.00,9.50
25.00,3.50,6.00,1.00,10.90
25.00,3.50,6.00,1.00,10.90
25.00,5.00,8.00,1.00,12.60
25.00,3.50,6.00,1.00,8.10
25.00,3.40,6.00,1.00,11.10
25.00,3.50,6.00,1.00,9.10
25.00,5.70,8.00,1.00,15.80
25.00,2.00,4.00,1.00,9.70
25.00,2.00,4.00,1.00,9.90
25.00,2.50,4.00,2.00,7.50
25.00,3.50,6.00,1.00,11.20
25.00,3.50,6.00,1.00,11.20
25.00,5.00,8.00,1.00,12.60
25.00,3.50,6.00,2.00,10.80
25.00,3.50,6.00,2.00,11.10
25.00,3.50,6.00,1.00,7.90
25.00,3.50,6.00,1.00,8.10
25.00,2.00,4.00,2.00,7.20
25.00,2.00,4.00,2.00,5.60
25.00,2.00,4.00,2.00,6.00
26.00,2.70,6.00,2.00,12.00
26.00,3.00,6.00,2.00,12.30
26.00,3.70,6.00,2.00,12.20
26.00,2.00,4.00,2.00,11.00
26.00,2.00,4.00,2.00,10.90
26.00,2.30,4.00,2.00,11.50
26.00,3.50,6.00,2.00,13.70
26.00,3.70,6.00,2.00,12.70
26.00,2.00,4.00,2.00,10.40
26.00,3.00,6.00,2.00,11.80
26.00,2.00,4.00,2.00,5.90
26.00,2.70,6.00,2.00,11.00
26.00,3.50,6.00,2.00,13.40
27.00,3.00,6.00,1.00,12.20
